8x8dct,analyse,aq-mode,aq-strength,b-adapt,bframes,cabac,chroma-qp-offset,crf,deblock,direct,fast-pskip,keyint,lookahead-threads,me,merange,mixed-refs,mbtree,nal-hrd,open-gop,run_time,encode_time,avg_cpu_util,output_file_mb,bitrate_kbps,encode_fps,cost,fidelity
1,p4x4,1,0.9233025246917861,1,13,1,-5,40.77229333036431,-5:5,none,0,61,0,dia,41,0,0,none,0,10.05,10.05,832.238806,6.168124,2591.417786,121.03,10.247047185897827,"['Action', '1080p', 60, '20s']"
1,p8x8,2,1.863555553453928,1,13,0,-11,42.12982610111724,0:0,spatial,1,28,0,dia,22,1,0,none,0,10.78,10.78,764.656772,4.742288,1992.3802,112.12,10.993589639663696,"['Action', '1080p', 60, '20s']"
0,p8x8,0,0.02799753211085343,1,1,1,-5,36.629015520408934,-1:1,auto,1,337,0,hex,55,0,0,none,1,10.65,10.65,846.760563,8.53238,3584.714064,114.25,10.853838920593262,"['Action', '1080p', 60, '20s']"
1,p8x8,0,1.1056657143849042,0,8,1,-10,38.887380956828565,3:3,auto,1,209,0,hex,46,1,1,vbr,1,10.17,10.17,872.369715,8.347281,3506.948055,119.09,10.376530647277832,"['Action', '1080p', 60, '20s']"
0,p8x8,3,1.9267046642405643,1,0,0,-11,44.20409347470566,3:-3,none,1,8,0,umh,29,0,1,vbr,0,10.52,10.52,854.277567,6.477611,2721.442492,114.94,10.730790615081787,"['Action', '1080p', 60, '20s']"
0,none,2,0.7117110272345082,1,2,1,8,41.371154251200196,0:0,temporal,0,466,0,dia,22,1,0,vbr,1,9.04,9.04,753.207965,4.246869,1784.239703,133.96,9.238657712936401,"['Action', '1080p', 60, '20s']"
0,p4x4,1,1.771382796779702,1,15,0,2,50.56417864144403,-2:2,spatial,1,270,0,dia,33,0,1,none,1,10.0,10.0,621.2,1.833206,770.186031,121.64,10.208432674407959,"['Action', '1080p', 60, '20s']"
0,p8x8,0,0.009857975404050645,0,8,0,-2,42.25415147057921,0:0,temporal,0,6,0,hex,39,0,1,none,0,8.61,8.61,516.957027,5.192495,2181.526241,141.82,8.82666277885437,"['Action', '1080p', 60, '20s']"
1,p4x4,1,1.5977065683271858,1,9,1,-2,41.26949425694568,1:-1,temporal,0,5,0,umh,37,1,1,none,0,10.72,10.72,845.802239,6.699636,2814.721956,112.8,10.916439771652222,"['Action', '1080p', 60, '20s']"
0,p8x8,3,0.643743891796551,0,5,0,-10,44.28325778058536,4:4,temporal,1,376,0,hex,17,1,1,cbr,0,10.26,10.26,798.538012,4.375816,1838.414393,118.0,10.448018074035645,"['Action', '1080p', 60, '20s']"
1,p8x8,0,0.6502717179955411,1,14,0,-1,41.812877447491815,-5:5,spatial,0,426,0,dia,32,0,1,cbr,1,10.07,10.07,804.766634,4.46116,1874.269752,120.87,10.27316689491272,"['Action', '1080p', 60, '20s']"
1,p4x4,1,1.9438676478705723,0,4,1,-3,50.58502453912399,3:3,auto,1,237,0,hex,20,0,1,cbr,1,8.74,8.74,648.169336,1.75189,736.022692,139.61,8.970008611679077,"['Action', '1080p', 60, '20s']"
1,p4x4,1,0.3106707707927163,1,3,0,0,40.240748864181036,3:-3,auto,0,427,0,dia,48,0,0,none,1,9.15,9.15,778.360656,4.935329,2073.48297,133.2,9.328036546707153,"['Action', '1080p', 60, '20s']"
