ffast-math,funroll-all-loops,fno-inline-small-functions,finline-functions,fno-math-errno,fipa-cp-clone,funsafe-math-optimizations,fno-tree-loop-optimize,fno-merge-constants,fno-omit-frame-pointer,fno-align-labels,fno-tree-dse,fwrapv,fgcse-after-reload,fno-align-jumps,fno-asynchronous-unwind-tables,fno-cse-follow-jumps,fno-ivopts,fno-guess-branch-probability,fprefetch-loop-arrays,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,On,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,Off,Off,Off,On,On,0.09729528427124023,1.4716911315917969,472056,4.262984037399292,828309,4503,8.38339877128601,"[10, 50, 6, 4, 10]"
On,On,Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,0.08535528182983398,1.4624934196472168,469384,4.261068820953369,828309,4503,8.318035125732422,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,0.08335590362548828,1.4447541236877441,465288,4.27282190322876,828309,4503,8.272907495498657,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,0.08176112174987793,1.4874019622802734,496248,7.171459674835205,866233,4708,11.273013830184937,"[10, 50, 6, 4, 25]"
On,On,Off,Off,On,Off,Off,On,Off,On,Off,Off,Off,Off,On,Off,On,Off,Off,On,0.09052562713623047,1.5072832107543945,504440,7.169405221939087,866233,4708,11.396516561508179,"[10, 50, 6, 4, 25]"
On,Off,Off,Off,Off,Off,On,Off,On,On,On,On,On,Off,Off,On,On,On,Off,Off,0.1040811538696289,5.528667688369751,1248872,34.61826133728027,2152160,10605,42.73642945289612,"[10, 50, 6, 4, 50]"
Off,Off,Off,Off,Off,Off,Off,On,On,Off,On,On,On,On,Off,On,On,Off,On,Off,0.07881522178649902,1.4314663410186768,467960,4.278266429901123,828309,4503,8.258326292037964,"[10, 50, 6, 4, 10]"
On,On,On,On,On,Off,On,On,On,On,On,Off,Off,Off,Off,Off,On,On,On,Off,0.08165884017944336,1.431347131729126,469384,4.272727966308594,828309,4503,8.168975591659546,"[10, 50, 6, 4, 10]"
Off,Off,Off,On,On,On,On,Off,Off,On,On,On,On,On,Off,On,Off,Off,Off,On,0.0968327522277832,1.4330902099609375,465288,4.2482593059539795,828309,4503,8.082876205444336,"[10, 50, 6, 4, 10]"
Off,On,On,On,On,Off,On,Off,Off,Off,Off,Off,On,Off,On,Off,On,On,On,On,0.10285019874572754,1.4466421604156494,469384,4.259748458862305,828309,4503,8.297795295715332,"[10, 50, 6, 4, 10]"
On,On,On,Off,Off,On,Off,On,Off,On,Off,On,Off,Off,On,On,Off,On,Off,On,0.08859086036682129,1.4500482082366943,465288,4.268820285797119,828309,4503,8.321786403656006,"[10, 50, 6, 4, 10]"
On,Off,Off,Off,Off,On,Off,Off,On,Off,Off,Off,Off,On,On,Off,Off,Off,Off,Off,0.08012747764587402,1.4494521617889404,469384,4.240550994873047,828309,4503,8.178921699523926,"[10, 50, 6, 4, 10]"
