fstrict-aliasing,funroll-loops,fno-exceptions,fomit-frame-pointer,fno-rtti,fdata-sections,ffunction-sections,fmerge-all-constants,finline-functions,finline-small-functions,fno-math-errno,fno-rounding-math,fno-trapping-math,fassociative-math,freciprocal-math,fno-signed-zeros,fno-zero-initialized-in-bss,fvectorize,fslp-vectorize,ftree-vectorize,run_time,compile_time,exe_size,csmith_time,source_size,LOC,cost,fidelity
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.09247827529907227,0.16753292083740234,67400,0.1495800018310547,63236,539,2.9538190364837646,"[80, 15, 1, 4, 10]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.0910649299621582,0.15927648544311523,55440,0.12433600425720215,38912,481,2.9262659549713135,"[60, 20, 1, 1, 25]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.09146904945373535,0.18084359169006348,55440,0.10547280311584473,38912,481,2.84836483001709,"[60, 20, 1, 1, 25]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.08746719360351562,0.20687580108642578,55440,0.10741305351257324,38912,481,2.9743781089782715,"[60, 20, 1, 1, 25]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.09231281280517578,0.15485644340515137,54400,0.1293959617614746,38912,481,2.8785054683685303,"[60, 20, 1, 1, 25]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.1003866195678711,0.15002036094665527,54400,0.12458324432373047,38912,481,3.0024752616882324,"[60, 20, 1, 1, 25]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.09719562530517578,0.1729423999786377,54400,0.10104036331176758,38912,481,2.8679966926574707,"[60, 20, 1, 1, 25]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.09380245208740234,0.16419339179992676,54400,0.1372365951538086,38912,481,2.8606433868408203,"[60, 20, 1, 1, 25]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.09347796440124512,0.16721224784851074,55440,0.11483573913574219,38912,481,2.9484403133392334,"[60, 20, 1, 1, 25]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.09282660484313965,0.19191217422485352,54400,0.1192314624786377,38912,481,2.8531997203826904,"[60, 20, 1, 1, 25]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.09413003921508789,0.17342710494995117,55440,0.10173678398132324,38912,481,2.907233238220215,"[60, 20, 1, 1, 25]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.08668375015258789,0.361236572265625,71432,0.46639180183410645,226207,1637,3.295396566390991,"[70, 20, 2, 3, 25]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.08627176284790039,0.33574604988098145,71432,0.45182037353515625,226207,1637,3.381394147872925,"[70, 20, 2, 3, 25]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.09643697738647461,0.3407711982727051,71432,0.46679067611694336,226207,1637,3.440685987472534,"[70, 20, 2, 3, 25]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.08463764190673828,0.3947632312774658,70376,0.4522984027862549,226207,1637,3.507817506790161,"[70, 20, 2, 3, 25]"
On,On,Off,Off,On,On,On,Off,On,On,On,On,Off,On,Off,On,Off,Off,Off,Off,0.08320736885070801,0.3429582118988037,70376,0.4532792568206787,226207,1637,3.345841407775879,"[70, 20, 2, 3, 25]"
Off,On,On,Off,On,On,Off,Off,On,Off,Off,On,On,On,On,Off,Off,On,On,On,0.09127449989318848,0.3383948802947998,70376,0.4918375015258789,226207,1637,3.4709231853485107,"[70, 20, 2, 3, 25]"
On,Off,On,On,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,On,On,Off,0.08309030532836914,0.3440055847167969,70376,0.4623739719390869,226207,1637,3.343165636062622,"[70, 20, 2, 3, 25]"
On,On,Off,On,Off,On,Off,On,On,On,On,Off,On,On,On,Off,On,On,Off,Off,0.10935783386230469,0.31903862953186035,71432,0.4704263210296631,226207,1637,3.3955206871032715,"[70, 20, 2, 3, 25]"
On,Off,On,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,On,0.09377121925354004,0.3668971061706543,70376,0.45905375480651855,226207,1637,3.4837589263916016,"[70, 20, 2, 3, 25]"
Off,Off,Off,On,Off,On,On,On,Off,On,On,Off,Off,Off,On,Off,On,On,Off,On,0.09253311157226562,0.32698869705200195,71432,0.4570598602294922,226207,1637,3.3199567794799805,"[70, 20, 2, 3, 25]"
Off,Off,On,Off,On,On,On,Off,Off,Off,On,Off,On,On,On,On,On,Off,On,On,0.0970916748046875,0.17470741271972656,52312,0.15831637382507324,69307,572,3.0068910121917725,"[60, 15, 2, 3, 10]"
Off,On,Off,On,Off,Off,On,On,Off,Off,On,On,Off,Off,On,Off,On,Off,Off,Off,0.08627820014953613,0.17194318771362305,52312,0.13540434837341309,69307,572,2.9036457538604736,"[60, 15, 2, 3, 10]"
On,Off,On,Off,On,Off,On,Off,Off,On,Off,Off,On,Off,Off,On,On,On,On,Off,0.1010744571685791,0.2022233009338379,52312,0.1429133415222168,69307,572,2.9977097511291504,"[60, 15, 2, 3, 10]"
Off,On,Off,On,Off,Off,Off,On,On,On,Off,On,Off,On,Off,On,Off,Off,On,On,0.09169626235961914,0.16762351989746094,51264,0.13432574272155762,69307,572,2.9269790649414062,"[60, 15, 2, 3, 10]"
